&IN
 ETA= 0.83999999999999997     ,
 XI0= 0.12110000000000000     ,
 BETA=  4.8399999999999999     ,
 P=-0.29999999999999999     ,
 K0=  3.8399999999999999     ,
 KF=  1.0000000000000000     ,
 L0=  8.0000000000000000     ,
 LF=  30.000000000000000     ,
 LM=  20.000000000000000     ,
 LW=  5.0000000000000000     ,
 T0=  125.59999999999999     ,
 TF=  257.00000000000000     ,
 VS=  2.4529999999999998     ,
 NMAX=10000      ,
 /
  0.83999999999999997     
  0.12110000000000000     
   4.8399999999999999     
 -0.29999999999999999     
   3.8399999999999999     
   1.0000000000000000     
   8.0000000000000000     
   30.000000000000000     
   20.000000000000000     
   5.0000000000000000     
   125.59999999999999     
   257.00000000000000     
   2.4529999999999998     
       10000
   2.2000000000000001E-003

L                        T                        Ta                       v                        
    0.81078000000000E+01     0.13002160536831E+03     0.12081860042391E+03     0.21359203458776E+01     0.38389076394709E+01
    0.81100000000000E+01     0.13010870123474E+03     0.12072407119268E+03     0.21426626553476E+01     0.38389051742446E+01
    0.81122000000000E+01     0.13019567427202E+03     0.12062952790389E+03     0.21494248918687E+01     0.38389027038540E+01
    0.81144000000000E+01     0.13028252464222E+03     0.12053523171868E+03     0.21562071100979E+01     0.38389002282893E+01
    0.81166000000000E+01     0.13036925250713E+03     0.12044092092473E+03     0.21630093648271E+01     0.38388977475406E+01
    0.81188000000000E+01     0.13045585802834E+03     0.12034685714138E+03     0.21698317109870E+01     0.38388952615981E+01
    0.81210000000000E+01     0.13054234136714E+03     0.12025277819891E+03     0.21766742036465E+01     0.38388927704518E+01
    0.81232000000000E+01     0.13062870268463E+03     0.12015894617545E+03     0.21835368980131E+01     0.38388902740919E+01
    0.81254000000000E+01     0.13071494214164E+03     0.12006509844329E+03     0.21904198494312E+01     0.38388877725082E+01
    0.81276000000000E+01     0.13080105989875E+03     0.11997149753991E+03     0.21973231133850E+01     0.38388852656910E+01
    0.81298000000000E+01     0.13088705611631E+03     0.11987788037905E+03     0.22042467454973E+01     0.38388827536302E+01
    0.81320000000000E+01     0.13097293095444E+03     0.11978450995808E+03     0.22111908015303E+01     0.38388802363158E+01
    0.81342000000000E+01     0.13105868457300E+03     0.11969112273168E+03     0.22181553373861E+01     0.38388777137379E+01
    0.81364000000000E+01     0.13114431713161E+03     0.11959798215763E+03     0.22251404091075E+01     0.38388751858863E+01
    0.81386000000000E+01     0.13122982878966E+03     0.11950482423097E+03     0.22321460728762E+01     0.38388726527511E+01
    0.81408000000000E+01     0.13131521970629E+03     0.11941191287049E+03     0.22391723850161E+01     0.38388701143221E+01
    0.81430000000000E+01     0.13140049004042E+03     0.11931898361101E+03     0.22462194019902E+01     0.38388675705894E+01
    0.81452000000000E+01     0.13148563995070E+03     0.11922630083287E+03     0.22532871804044E+01     0.38388650215428E+01
    0.81474000000000E+01     0.13157066959556E+03     0.11913359961014E+03     0.22603757770062E+01     0.38388624671722E+01
    0.81496000000000E+01     0.13165557913320E+03     0.11904114478524E+03     0.22674852486835E+01     0.38388599074675E+01
    0.81518000000000E+01     0.13174036872156E+03     0.11894867097094E+03     0.22746156524683E+01     0.38388573424185E+01
    0.81540000000000E+01     0.13182503851836E+03     0.11885644347231E+03     0.22817670455329E+01     0.38388547720151E+01
    0.81562000000000E+01     0.13190958868107E+03     0.11876419644025E+03     0.22889394851954E+01     0.38388521962470E+01
    0.81584000000000E+01     0.13199401936694E+03     0.11867219564302E+03     0.22961330289144E+01     0.38388496151041E+01
    0.81606000000000E+01     0.13207833073297E+03     0.11858017476910E+03     0.23033477342932E+01     0.38388470285763E+01
    0.81628000000000E+01     0.13216252293592E+03     0.11848840005050E+03     0.23105836590791E+01     0.38388444366531E+01
    0.81650000000000E+01     0.13224659613234E+03     0.11839660471274E+03     0.23178408611631E+01     0.38388418393245E+01
    0.81672000000000E+01     0.13233055047851E+03     0.11830505545211E+03     0.23251193985799E+01     0.38388392365801E+01
    0.81694000000000E+01     0.13241438613050E+03     0.11821348503058E+03     0.23324193295114E+01     0.38388366284096E+01
    0.81716000000000E+01     0.13249810324414E+03     0.11812216060933E+03     0.23397407122826E+01     0.38388340148028E+01
    0.81738000000000E+01     0.13258170197502E+03     0.11803081448622E+03     0.23470836053641E+01     0.38388313957493E+01
    0.81760000000000E+01     0.13266518247851E+03     0.11793971428785E+03     0.23544480673725E+01     0.38388287712388E+01
    0.81782000000000E+01     0.13274854490973E+03     0.11784859184740E+03     0.23618341570704E+01     0.38388261412609E+01
    0.81804000000000E+01     0.13283178942358E+03     0.11775771525747E+03     0.23692419333679E+01     0.38388235058054E+01
    0.81826000000000E+01     0.13291491617473E+03     0.11766681588600E+03     0.23766714553194E+01     0.38388208648617E+01
    0.81848000000000E+01     0.13299792531760E+03     0.11757616229212E+03     0.23841227821289E+01     0.38388182184195E+01
    0.81870000000000E+01     0.13308081700639E+03     0.11748548537801E+03     0.23915959731468E+01     0.38388155664683E+01
    0.81892000000000E+01     0.13316359139508E+03     0.11739505416987E+03     0.23990910878707E+01     0.38388129089978E+01
    0.81914000000000E+01     0.13324624863741E+03     0.11730459910353E+03     0.24066081859465E+01     0.38388102459975E+01
    0.81936000000000E+01     0.13332878888688E+03     0.11721438967284E+03     0.24141473271692E+01     0.38388075774568E+01
    0.81958000000000E+01     0.13341121229677E+03     0.11712415584675E+03     0.24217085714813E+01     0.38388049033654E+01
    0.81980000000000E+01     0.13349351902013E+03     0.11703416758727E+03     0.24292919789746E+01     0.38388022237126E+01
    0.82002000000000E+01     0.13357570920979E+03     0.11694415439591E+03     0.24368976098910E+01     0.38387995384881E+01
    0.82024000000000E+01     0.13365778301833E+03     0.11685438670344E+03     0.24445255246233E+01     0.38387968476811E+01
    0.82046000000000E+01     0.13373974059812E+03     0.11676459354333E+03     0.24521757837098E+01     0.38387941512812E+01
    0.82068000000000E+01     0.13382158210129E+03     0.11667504581568E+03     0.24598484478446E+01     0.38387914492778E+01
    0.82090000000000E+01     0.13390330767976E+03     0.11658547208536E+03     0.24675435778687E+01     0.38387887416603E+01
    0.82112000000000E+01     0.13398491748520E+03     0.11649614372235E+03     0.24752612347742E+01     0.38387860284180E+01
    0.82134000000000E+01     0.13406641166907E+03     0.11640678882237E+03     0.24830014797087E+01     0.38387833095404E+01
    0.82156000000000E+01     0.13414779038260E+03     0.11631767922584E+03     0.24907643739651E+01     0.38387805850168E+01
    0.82178000000000E+01     0.13422905377679E+03     0.11622854255875E+03     0.24985499789945E+01     0.38387778548366E+01
    0.82200000000000E+01     0.13431020200242E+03     0.11613965113252E+03     0.25063583563962E+01     0.38387751189889E+01
    0.82222000000000E+01     0.13439123521004E+03     0.11605073210287E+03     0.25141895679246E+01     0.38387723774632E+01
    0.82244000000000E+01     0.13447215354997E+03     0.11596205825276E+03     0.25220436754844E+01     0.38387696302487E+01
    0.82266000000000E+01     0.13455295717233E+03     0.11587335626707E+03     0.25299207411362E+01     0.38387668773347E+01
    0.82288000000000E+01     0.13463364622699E+03     0.11578489940089E+03     0.25378208270944E+01     0.38387641187104E+01
    0.82310000000000E+01     0.13471422086361E+03     0.11569641386769E+03     0.25457439957257E+01     0.38387613543651E+01
    0.82332000000000E+01     0.13479468123162E+03     0.11560817339521E+03     0.25536903095514E+01     0.38387585842879E+01
    0.82354000000000E+01     0.13487502748023E+03     0.11551990372497E+03     0.25616598312488E+01     0.38387558084681E+01
    0.82376000000000E+01     0.13495525975842E+03     0.11543187905794E+03     0.25696526236490E+01     0.38387530268948E+01
    0.82398000000000E+01     0.13503537821497E+03     0.11534382466311E+03     0.25776687497408E+01     0.38387502395571E+01
